trigger_specialty_id,profession_parent_id,profession_type_id,notes
616,,,Medical Physics → move to Unknown category as these are not Physicians but dont know where to put them
800,,,Marriage and Family Therapist → move to Unknown category as these are not Physicians but dont know where to put them
522,,,Clinical Hypnosis → move to Unknown category as these are not Physicians but dont know where to put them
714,,,Social Work → move to Unknown category as these are not Physicians but dont know where to put them
563,,,Leadership → move to Unknown category as these are not Physicians but dont know where to put them
152,,,Practice Management → move to Unknown category as these are not Physicians but dont know where to put them
808,,,Hand Therapy → move to Unknown category as these are not Physicians but dont know where to put them
822,,,Phlebotomy → move to Unknown category as these are not Physicians but dont know where to put them
535,,,Bioactive Compounds → move to Unknown category as these are not Physicians but dont know where to put them
814,,,Chiropractic Neurology → move to Unknown category as these are not Physicians but dont know where to put them




















