Code,Grouping,Classification,Specialization,eMed_Profession,Not Sure,MD,DO,eMed_Speciality,eMed_Speciality_ID,Comments,eMed_SubSpeciality,eMed_SubSpeciality_ID,Comments
2081P0301X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Brain Injury Medicine,Physician,167,184,185,Physical Medicine & Rehabilitation,1463,,Brain Injury Medicine,2656,
2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine,Physician,167,184,185,Physical Medicine & Rehabilitation,1463,,Hospice and Palliative Medicine,2657,
2081N0008X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Neuromuscular Medicine,Physician,167,184,185,Physical Medicine & Rehabilitation,1463,,Neuromuscular Medicine,2658,
2081P2900X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Pain Medicine,Physician,167,184,185,Physical Medicine & Rehabilitation,1463,,Pain Medicine,2659,
2081P0010X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Pediatric Rehabilitation Medicine,Physician,167,184,185,Physical Medicine & Rehabilitation,1463,,Pediatric Rehabilitation Medicine,2660,
2081P0004X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Spinal Cord Injury Medicine,Physician,167,184,185,Physical Medicine & Rehabilitation,1463,,Spinal Cord Injury Medicine,2661,
2081S0010X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Sports Medicine,Physician,167,184,185,Physical Medicine & Rehabilitation,1463,,Sports Medicine,2662,
208200000X,Allopathic & Osteopathic Physicians,Plastic Surgery,,Physician,167,184,185,Plastic Surgery,70,,,,
2082S0099X,Allopathic & Osteopathic Physicians,Plastic Surgery,Plastic Surgery Within the Head and Neck,Physician,167,184,185,Plastic Surgery,70,,Plastic Surgery within the Head & Neck,2663,
2082S0105X,Allopathic & Osteopathic Physicians,Plastic Surgery,Surgery of the Hand,Physician,167,184,185,Plastic Surgery,70,,Surgery of the Hand,2664,
,,,,Physician,167,184,185,Plastic Surgery,70,,Plastic and Reconstructive Surgery,2665,
,,,,Physician,167,184,185,Preventive Medicine,230,,,,
2083A0300X,Allopathic & Osteopathic Physicians,Preventive Medicine,Addiction Medicine,Physician,167,184,185,Preventive Medicine,230,,Addiction Medicine,1017,
2083A0100X,Allopathic & Osteopathic Physicians,Preventive Medicine,Aerospace Medicine,Physician,167,184,185,Preventive Medicine,230,,Aerospace Medicine,2666,
2083C0008X,Allopathic & Osteopathic Physicians,Preventive Medicine,Clinical Informatics,Physician,167,184,185,Preventive Medicine,230,,Clinical Informatics,2667,
2083T0002X,Allopathic & Osteopathic Physicians,Preventive Medicine,Medical Toxicology,Physician,167,184,185,Preventive Medicine,230,,Medical Toxicology,2668,
2083B0002X,Allopathic & Osteopathic Physicians,Preventive Medicine,Obesity Medicine,Physician,167,184,185,Preventive Medicine,230,,Obesity Medicine,2669,
2083X0100X,Allopathic & Osteopathic Physicians,Preventive Medicine,Occupational Medicine,Physician,167,184,185,Preventive Medicine,230,,Occupational Medicine,2670,
2083P0500X,Allopathic & Osteopathic Physicians,Preventive Medicine,Preventive Medicine/Occupational Environmental Medicine,Physician,167,184,185,Preventive Medicine,230,,Preventive Medicine or Occupational Environmental Medicine,2671,
2083P0901X,Allopathic & Osteopathic Physicians,Preventive Medicine,Public Health & General Preventive Medicine,Physician,167,184,185,Preventive Medicine,230,,Public Health & General Preventive Medicine,2672,
2083S0010X,Allopathic & Osteopathic Physicians,Preventive Medicine,Sports Medicine,Physician,167,184,185,Preventive Medicine,230,,Sports Medicine,2673,
2083P0011X,Allopathic & Osteopathic Physicians,Preventive Medicine,Undersea and Hyperbaric Medicine,Physician,167,184,185,Preventive Medicine,230,,Undersea and Hyperbaric Medicine,2674,
,,,,Physician,167,184,185,Psychiatry and Neurology,906,,,,
2084A0401X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Addiction Medicine,Physician,167,184,185,Psychiatry and Neurology,906,,Addiction Medicine,2675,
2084P0802X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Addiction Psychiatry,Physician,167,184,185,Psychiatry and Neurology,906,,Addiction Psychiatry,1021,
2084B0040X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Behavioral Neurology & Neuropsychiatry,Physician,167,184,185,Psychiatry and Neurology,906,,Behavioral Neurology & Neuropsychiatry,2676,
2084P0301X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Brain Injury Medicine,Physician,167,184,185,Psychiatry and Neurology,906,,Brain Injury Medicine,1022,
2084P0804X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Child & Adolescent Psychiatry,Physician,167,184,185,Psychiatry and Neurology,906,,Child and Adolescent Psychiatry,1023,
2084N0600X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Clinical Neurophysiology,Physician,167,184,185,Psychiatry and Neurology,906,,Clinical Neurophysiology,1024,
2084D0003X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Diagnostic Neuroimaging,Physician,167,184,185,Psychiatry and Neurology,906,,Neuroimaging,2677,
2084E0001X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Epilepsy,Physician,167,184,185,Psychiatry and Neurology,906,,Epilepsy,1026,
2084F0202X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Forensic Psychiatry,Physician,167,184,185,Psychiatry and Neurology,906,,Forensic Psychiatry,1027,
2084P0805X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Geriatric Psychiatry,Physician,167,184,185,Psychiatry and Neurology,906,,Geriatric Psychiatry,1028,
2084H0002X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Hospice and Palliative Medicine,Physician,167,184,185,Psychiatry and Neurology,906,,Hospice and Palliative Medicine,1029,
2084A2900X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Neurocritical Care,Physician,167,184,185,Psychiatry and Neurology,906,,Neurocritical Care,1030,
2084P0005X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Neurodevelopmental Disabilities,Physician,167,184,185,Psychiatry and Neurology,906,,Neurodevelopmental Disabilities,1031,
2084N0400X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Neurology,Physician,167,184,185,Psychiatry and Neurology,906,,Neurology,2678,
2084N0402X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Neurology with Special Qualifications in Child Neurology,Physician,167,184,185,Psychiatry and Neurology,906,,Neurology with Special Qualifications in Child Neurology,2679,
2084N0008X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Neuromuscular Medicine,Physician,167,184,185,Psychiatry and Neurology,906,,Neuromuscular Medicine,1032,
2084B0002X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Obesity Medicine,Physician,167,184,185,Psychiatry and Neurology,906,,Obesity Medicine,2680,
2084P2900X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Pain Medicine,Physician,167,184,185,Psychiatry and Neurology,906,,Pain Medicine,1033,
2084P0800X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Psychiatry,Physician,167,184,185,Psychiatry and Neurology,906,,Psychiatry,2681,
2084P0015X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Psychosomatic Medicine,Physician,167,184,185,Psychiatry and Neurology,906,,Psychosomatic Medicine,2682,
2084S0012X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Sleep Medicine,Physician,167,184,185,Psychiatry and Neurology,906,,Sleep Medicine,1034,
2084S0010X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Sports Medicine,Physician,167,184,185,Psychiatry and Neurology,906,,Sports Medicine,2683,
2084V0102X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Vascular Neurology,Physician,167,184,185,Psychiatry and Neurology,906,,Vascular Neurology,1035,
2085B0100X,Allopathic & Osteopathic Physicians,Radiology,Body Imaging,Physician,167,184,185,Diagnostic Radiology,1912,,Body Imaging,2684,
2085D0003X,Allopathic & Osteopathic Physicians,Radiology,Diagnostic Neuroimaging,Physician,167,184,185,Diagnostic Radiology,1912,,Diagnostic Neuroimaging,2685,
2085R0202X,Allopathic & Osteopathic Physicians,Radiology,Diagnostic Radiology,Physician,167,184,185,Diagnostic Radiology,1912,,,,
2085U0001X,Allopathic & Osteopathic Physicians,Radiology,Diagnostic Ultrasound,Physician,167,184,185,Diagnostic Radiology,1912,,Diagnostic Ultrasound,2686,
2085H0002X,Allopathic & Osteopathic Physicians,Radiology,Hospice and Palliative Medicine,Physician,167,184,185,Diagnostic Radiology,1912,,Hospice and Palliative Medicine,2687,
2085N0700X,Allopathic & Osteopathic Physicians,Radiology,Neuroradiology,Physician,167,184,185,Diagnostic Radiology,1912,,Neuroradiology,1037,
2085N0904X,Allopathic & Osteopathic Physicians,Radiology,Nuclear Radiology,Physician,167,184,185,Diagnostic Radiology,1912,,Nuclear Radiology,2694,
2085P0229X,Allopathic & Osteopathic Physicians,Radiology,Pediatric Radiology,Physician,167,184,185,Diagnostic Radiology,1912,,Pediatric Radiology,2695,
2085R0001X,Allopathic & Osteopathic Physicians,Radiology,Radiation Oncology,Physician,167,184,185,Diagnostic Radiology,1912,,Radiation Oncology,2696,
2085R0205X,Allopathic & Osteopathic Physicians,Radiology,Radiological Physics,Physician,167,184,185,Diagnostic Radiology,1912,,Radiological Physics,2688,
2085R0203X,Allopathic & Osteopathic Physicians,Radiology,Therapeutic Radiology,Physician,167,184,185,Diagnostic Radiology,1912,,Therapeutic Medical Physics,2697,
2085R0204X,Allopathic & Osteopathic Physicians,Radiology,Vascular & Interventional Radiology,Physician,167,184,185,Diagnostic Radiology,1912,,Vascular & Interventional Radiology,2698,
,,,,Physician,167,184,185,Diagnostic Radiology,1912,,Diagnostic Medical Physics,2699,
,,,,Physician,167,184,185,Diagnostic Radiology,1912,,Computed Tomography,2700,
208600000X,Allopathic & Osteopathic Physicians,Surgery,,Physician,167,184,185,Surgery,68,,,,
,,,,Physician,167,184,185,Cardiology,8,,,,
2086H0002X,Allopathic & Osteopathic Physicians,Surgery,Hospice and Palliative Medicine,Physician,167,184,185,Surgery,68,,Hospice and Palliative Medicine,2689,
2086S0120X,Allopathic & Osteopathic Physicians,Surgery,Pediatric Surgery,Physician,167,184,185,Surgery,68,,Pediatric Surgery,2701,
2086P0122X,Allopathic & Osteopathic Physicians,Surgery,Physician Nutrition Specialist,Physician,167,184,185,Surgery,68,,Physician Nutrition Specialist,2690,
2086S0122X,Allopathic & Osteopathic Physicians,Surgery,Plastic and Reconstructive Surgery,Physician,167,184,185,Surgery,68,,Plastic and Reconstructive Surgery,2702,
2086S0105X,Allopathic & Osteopathic Physicians,Surgery,Surgery of the Hand,Physician,167,184,185,Surgery,68,,Surgery of the Hand,2703,
2086S0102X,Allopathic & Osteopathic Physicians,Surgery,Surgical Critical Care,Physician,167,184,185,Surgery,68,,Surgical Critical Care,2704,
2086X0206X,Allopathic & Osteopathic Physicians,Surgery,Surgical Oncology,Physician,167,184,185,Surgery,68,,Surgical Oncology,2705,
2086S0127X,Allopathic & Osteopathic Physicians,Surgery,Trauma Surgery,Physician,167,184,185,Surgery,68,,Trauma Surgery,2691,
2086S0129X,Allopathic & Osteopathic Physicians,Surgery,Vascular Surgery,Physician,167,184,185,Surgery,68,,Vascular Surgery,2706,
208G00000X,Allopathic & Osteopathic Physicians,Thoracic Surgery (Cardiothoracic Vascular Surgery),,Physician,167,184,185,Thoracic Surgery,182,,,,
,,,,Physician,167,184,185,Thoracic Surgery,182,,Congenital Cardiac Surgery,2707,
204F00000X,Allopathic & Osteopathic Physicians,Transplant Surgery,,Physician,167,184,185,Transplant Surgery,526,,,,
208800000X,Allopathic & Osteopathic Physicians,Urology,,Physician,167,184,185,Urology,63,,,,
2088F0040X,Allopathic & Osteopathic Physicians,Urology,Urogynecology and Reconstructive Pelvic Surgery,Physician,167,184,185,Urology,63,,Urogynecology and Pelvic Floor Reconstruction,2708,
2088P0231X,Allopathic & Osteopathic Physicians,Urology,Pediatric Urology,Physician,167,184,185,Urology,63,,Pediatric Urology,2709,
